reviews,food,Safety and Hygiene,location,value for money,hospitality
"Luxurious bedrooms, quiet rooms and helpful staff. The hotel actively encourages you to use the room service menus, and the prices are the same as the restaurant so very convenient. Room was clean and silent, and the staff was attentive. Fairly clean. Comfortable bed and linen. Quiet from roadside noise. Bathroom was large and well-appointed, with a rain shower, hand-shower and bath-tub. I had paid for airport pickup and the staff and driver (sudhir) who received me at the airport were very courteous and helpful. Very smooth transfer. Most of the staff i encountered right from those at the hotel gates, were courteous, friendly and helpful. Good location within 10 minutes' drive from the international airport.",2,2,2,2,2
"We had a marvelous stay in delhi at the trans international hotel. Wonderful interiors, very good service and some excellent dining too, trans international this name as this is the best hotel in mahipalpur! prices are excellent, i have stayed with my wife for a weekend and honestly i am so happy we found this place. I will start by checking in in the lobby & giving us our room keys! all with the help of a very nice, friendly and professional manager who was great at the entrance. We felt special from the beginning to the end. Beautiful lobby - surly can make you feel like you're home. The room was lovely, super clean with the most comfortable bed i have ever slept on! and om g love the pillows) bathroom with shower very clean. Reception was very helpful, so we had a great night out as well. After we came back - it's really like they thought of everything to please your stay! we tried food room service as well and in 20 min was delivered to our room! so happy with our stay that actually was sad to leave! there and will recommend this piece of heaven near airport delhi to everyone) thank you!",2,2,2,2,2
"Great hotel in an excellent location with outstanding staff. This is my first stay here, and i must say it was overwhelming. Staff - courteous, polite, sophisticated and always smiling. Housekeeping - splendid, the extra touches of towel art is appreciated. Check in / out- quick and smooth. Breakfast - excellent, varied spread in both hot and cold section, quality food and very attentive staff; special mention for the bakery items. Room - extremely comfortable mattress, amazing bathroom, good quality toiletries. A big thumbs up to the property and the wonderful management. Great experience. Very well maintained hotel, nice facilities.",2,2,2,2,2
"I come here often for business. They offer a very comfortable stay at a price that fits in my budget. The location is very good since it is near to airport, hence transportation is not a problem. Food is delicious. Recommended to all. I stayed there for 3 days, it's safe, at a very peaceful place, 4 km from the airport, transportation available easily. The food was awesome and tasty. The rooms are neat, clean, tidy. Room service is very good, staff is polite and helpful. What else you want. Give it a try if u r in delhi.",2,2,2,2,2
Comfortable room with adequate amenities. Service was good despite a large number of guests. Breakfast was excellent. Best in facilities.,2,1,1,1,2
"Room was neat and clean. And also the staff are very polite and well behaved. Very good location near the airport, safe for family and couples.",1,2,2,1,2
This hotel is in a very good location near new delhi airport. The hotel room is clean and beautiful all over good stay. A good hotel. Staff also good. Value for money.,2,2,2,2,2
"As always the hotel is an excellent place to spend some days with family, the facilities are amazing and the food is one of the best things that this hotel has. Services and facilities were superb.",2,1,2,2,2
Nice stay. Suggest u to initiative for stay. Nice stay.,2,2,2,2,2
The hotel had a good variety in food and had taken adequate measures of cleanliness and hygiene at the rooms during our stay,1,1,1,1,1
